epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,12048.5,0.84197,0.52317,0.92997,0.842,0.789,0.85096,0.65254,0.83051,0.44618,0.89953,0.002278,0.002278,0.002278
41,13066.8,0.83974,0.49282,0.91679,0.84427,0.79028,0.85194,0.65362,0.83006,0.44505,0.89918,0.00208,0.00208,0.00208
42,14021.3,0.83481,0.48473,0.91743,0.84662,0.79268,0.85311,0.65467,0.82946,0.44384,0.89911,0.001882,0.001882,0.001882
43,14990.8,0.83067,0.47847,0.91528,0.84627,0.79326,0.85428,0.6559,0.82883,0.44262,0.89896,0.001684,0.001684,0.001684
44,15939.9,0.82747,0.47165,0.9129,0.83979,0.79906,0.85508,0.65756,0.82818,0.44149,0.89875,0.001486,0.001486,0.001486
45,17193,0.82409,0.46687,0.91308,0.84224,0.79749,0.85655,0.65907,0.82762,0.44061,0.89869,0.001288,0.001288,0.001288
46,18697.7,0.82069,0.4592,0.90705,0.84493,0.79583,0.85731,0.65976,0.82711,0.43948,0.89818,0.00109,0.00109,0.00109
47,20071.6,0.81584,0.45237,0.90682,0.84204,0.80063,0.85795,0.66068,0.82659,0.43845,0.89782,0.000892,0.000892,0.000892
48,21024.5,0.81122,0.44497,0.90465,0.8425,0.80111,0.85887,0.6615,0.82626,0.43763,0.8976,0.000694,0.000694,0.000694
49,21951,0.80797,0.43937,0.90361,0.844,0.80084,0.8592,0.66213,0.82591,0.43665,0.89721,0.000496,0.000496,0.000496
50,22901.3,0.80436,0.43287,0.90072,0.84466,0.80022,0.85973,0.66312,0.82562,0.43598,0.89667,0.000298,0.000298,0.000298
